date_of_event,event_date,position,swim_time,T1_time,bike_time,T2_time,run_time,total_time,swim_position,t1_position,bike_position,t2_position,run_position
1985,27/07/1985,1,1247,0,6081,0,2950,10278,2.0,1.0,1.0,1.0,2.0
1986,22/06/1986,4,0,0,0,0,0,8550,1.0,1.0,1.0,1.0,1.0
1986,22/06/1986,1,0,0,0,0,0,8220,2.0,2.0,2.0,2.0,2.0
1986,22/06/1986,2,0,0,0,0,0,8320,3.0,3.0,3.0,3.0,3.0
1986,22/06/1986,3,0,0,0,0,0,8510,4.0,4.0,4.0,4.0,4.0
1987,31/05/1987,1,0,0,0,0,0,8223,1.0,1.0,1.0,1.0,1.0
1987,31/05/1987,2,0,0,0,0,0,8430,2.0,2.0,2.0,2.0,2.0
1987,31/05/1987,3,0,0,0,0,0,8541,3.0,3.0,3.0,3.0,3.0
1988,10/09/1988,1,0,0,0,0,0,7493,1.0,1.0,1.0,1.0,1.0
1988,10/09/1988,2,0,0,0,0,0,7512,2.0,2.0,2.0,2.0,2.0
1988,10/09/1988,3,0,0,0,0,0,7637,3.0,3.0,3.0,3.0,3.0
1988,10/09/1988,4,0,0,0,0,0,7662,4.0,4.0,4.0,4.0,4.0
1988,10/09/1988,5,0,0,0,0,0,7667,5.0,5.0,5.0,5.0,5.0
1988,10/09/1988,6,0,0,0,0,0,7699,6.0,6.0,6.0,6.0,6.0
1988,10/09/1988,7,0,0,0,0,0,7772,7.0,7.0,7.0,7.0,7.0
1988,10/09/1988,8,0,0,0,0,0,7795,8.0,8.0,8.0,8.0,8.0
1988,10/09/1988,9,0,0,0,0,0,7817,9.0,9.0,9.0,9.0,9.0
1988,10/09/1988,10,0,0,0,0,0,7827,10.0,10.0,10.0,10.0,10.0
1988,10/09/1988,22,0,0,0,0,0,8404,11.0,11.0,11.0,11.0,11.0
1988,10/09/1988,29,0,0,0,0,0,8784,12.0,12.0,12.0,12.0,12.0
1988,10/09/1988,30,0,0,0,0,0,8931,13.0,13.0,13.0,13.0,13.0
1989,11/06/1989,1,1400,0,4483,0,2335,8219,3.0,1.0,2.0,1.0,2.0
1989,11/06/1989,2,1380,0,4658,0,2497,8537,2.0,2.0,6.0,2.0,11.0
1989,11/06/1989,3,1482,0,4665,0,2408,8556,6.0,3.0,7.0,3.0,6.0
1989,11/06/1989,4,1546,0,4643,0,2376,8564,8.0,4.0,5.0,4.0,3.0
1989,11/06/1989,5,1629,0,4567,0,2377,8574,10.0,5.0,3.0,5.0,4.0
1989,11/06/1989,6,1479,0,4686,0,2466,8631,5.0,6.0,8.0,6.0,8.0
1989,11/06/1989,7,1404,0,4787,0,2478,8669,4.0,7.0,10.0,7.0,10.0
1989,11/06/1989,8,1525,0,4793,0,2403,8723,7.0,8.0,11.0,8.0,5.0
1989,11/06/1989,9,1710,0,4628,0,2430,8767,11.0,9.0,4.0,9.0,7.0
1989,11/06/1989,10,1620,0,4719,0,2466,8806,9.0,10.0,9.0,10.0,9.0
1989,11/06/1989,14,0,0,0,0,0,9143,1.0,11.0,1.0,11.0,1.0
1989,06/08/1989,1,1771,0,3786,0,2244,7800,38.0,1.0,34.0,1.0,36.0
1989,06/08/1989,2,1725,0,3822,0,2285,7833,34.0,2.0,35.0,2.0,42.0
1989,06/08/1989,3,1766,0,3982,0,2220,7969,36.0,3.0,44.0,3.0,35.0
1989,06/08/1989,4,1806,0,3931,0,2254,7992,41.0,4.0,38.0,4.0,38.0
1989,06/08/1989,5,1772,0,3979,0,2247,7999,39.0,5.0,43.0,5.0,37.0
1989,06/08/1989,6,1815,0,4042,0,2281,8138,46.0,6.0,46.0,6.0,40.0
1989,06/08/1989,7,1806,0,3976,0,2362,8145,42.0,7.0,42.0,7.0,47.0
1989,06/08/1989,8,1808,0,3960,0,2406,8175,44.0,8.0,40.0,8.0,53.0
1989,06/08/1989,9,1951,0,3909,0,2326,8188,60.0,9.0,36.0,9.0,45.0
1989,06/08/1989,10,1988,0,3934,0,2284,8207,62.0,10.0,39.0,10.0,41.0
1989,06/08/1989,11,1812,0,3960,0,2460,8233,45.0,11.0,41.0,11.0,57.0
1989,06/08/1989,12,1888,0,4073,0,2289,8251,53.0,12.0,50.0,12.0,43.0
1989,06/08/1989,13,1770,0,4434,0,2094,8299,37.0,13.0,65.0,13.0,34.0
1989,06/08/1989,14,1870,0,4071,0,2378,8319,51.0,14.0,48.0,14.0,49.0
1989,06/08/1989,15,2236,0,4057,0,2038,8332,66.0,15.0,47.0,15.0,33.0
1989,06/08/1989,16,1759,0,4200,0,2374,8335,35.0,16.0,56.0,16.0,48.0
1989,06/08/1989,17,1921,0,4164,0,2278,8363,55.0,17.0,53.0,17.0,39.0
1989,06/08/1989,18,1978,0,3911,0,2507,8397,61.0,18.0,37.0,18.0,59.0
1989,06/08/1989,19,1680,0,4137,0,2589,8406,33.0,19.0,52.0,19.0,62.0
1989,06/08/1989,20,1894,0,4083,0,2450,8428,54.0,20.0,51.0,20.0,56.0
1989,06/08/1989,21,1807,0,4287,0,2361,8455,43.0,21.0,62.0,21.0,46.0
1989,06/08/1989,22,1786,0,4199,0,2472,8457,40.0,22.0,55.0,22.0,58.0
1989,06/08/1989,23,2086,0,4038,0,2401,8526,63.0,23.0,45.0,23.0,52.0
1989,06/08/1989,24,1935,0,4254,0,2380,8569,58.0,24.0,59.0,24.0,50.0
1989,06/08/1989,25,2102,0,4200,0,2305,8608,64.0,25.0,57.0,25.0,44.0
1989,06/08/1989,26,1926,0,4318,0,2392,8636,57.0,26.0,63.0,26.0,51.0
1989,06/08/1989,27,1861,0,3715,0,3094,8670,50.0,27.0,33.0,27.0,66.0
1989,06/08/1989,28,2191,0,4072,0,2411,8674,65.0,28.0,49.0,28.0,54.0
1989,06/08/1989,29,1833,0,4256,0,2624,8713,49.0,29.0,60.0,29.0,64.0
