date_of_event,event_date,position,swim_time,T1_time,bike_time,T2_time,run_time,total_time,swim_position,t1_position,bike_position,t2_position,run_position
1986.0,22/06/1986,5,0.0,0.0,0.0,0.0,0.0,7420.0,2.0,2.0,2.0,2.0,2.0
1986.0,22/06/1986,16,0.0,0.0,0.0,0.0,0.0,7670.0,6.0,6.0,6.0,6.0,6.0
1986.0,22/06/1986,1,0.0,0.0,0.0,0.0,0.0,7190.0,13.0,13.0,13.0,13.0,13.0
1986.0,22/06/1986,2,0.0,0.0,0.0,0.0,0.0,7210.0,14.0,14.0,14.0,14.0,14.0
1987.0,31/05/1987,1,0.0,0.0,0.0,0.0,0.0,7092.0,1.0,1.0,1.0,1.0,1.0
1987.0,31/05/1987,2,0.0,0.0,0.0,0.0,0.0,7263.0,2.0,2.0,2.0,2.0,2.0
1987.0,31/05/1987,3,0.0,0.0,0.0,0.0,0.0,7282.0,3.0,3.0,3.0,3.0,3.0
1988.0,10/09/1988,1,0.0,0.0,0.0,0.0,0.0,6623.0,1.0,1.0,1.0,1.0,1.0
1988.0,10/09/1988,2,0.0,0.0,0.0,0.0,0.0,6661.0,2.0,2.0,2.0,2.0,2.0
1988.0,10/09/1988,3,0.0,0.0,0.0,0.0,0.0,6669.0,3.0,3.0,3.0,3.0,3.0
1988.0,10/09/1988,4,0.0,0.0,0.0,0.0,0.0,6677.0,4.0,4.0,4.0,4.0,4.0
1988.0,10/09/1988,5,0.0,0.0,0.0,0.0,0.0,6684.0,5.0,5.0,5.0,5.0,5.0
1988.0,10/09/1988,8,0.0,0.0,0.0,0.0,0.0,6790.0,8.0,8.0,8.0,8.0,8.0
1988.0,10/09/1988,58,0.0,0.0,0.0,0.0,0.0,7827.0,11.0,11.0,11.0,11.0,11.0
1988.0,10/09/1988,69,0.0,0.0,0.0,0.0,0.0,8284.0,12.0,12.0,12.0,12.0,12.0
1989.0,11/06/1989,1,1251.0,0.0,3887.0,0.0,2189.0,7328.0,6.0,1.0,2.0,1.0,25.0
1989.0,11/06/1989,2,1249.0,0.0,3982.0,0.0,2138.0,7374.0,5.0,2.0,5.0,2.0,19.0
1989.0,11/06/1989,3,1313.0,0.0,3978.0,0.0,2092.0,7384.0,15.0,3.0,4.0,3.0,7.0
1989.0,11/06/1989,5,1240.0,0.0,4009.0,0.0,2227.0,7478.0,2.0,5.0,8.0,5.0,32.0
1989.0,11/06/1989,6,1254.0,0.0,4156.0,0.0,2071.0,7481.0,8.0,6.0,22.0,6.0,3.0
1989.0,11/06/1989,8,1375.0,0.0,4077.0,0.0,2098.0,7550.0,24.0,8.0,12.0,8.0,9.0
1989.0,11/06/1989,9,1314.0,0.0,4114.0,0.0,2136.0,7561.0,16.0,9.0,17.0,9.0,18.0
1989.0,11/06/1989,10,1346.0,0.0,4072.0,0.0,2156.0,7573.0,20.0,10.0,11.0,10.0,21.0
1989.0,11/06/1989,11,0.0,0.0,0.0,0.0,2344.0,7585.0,1.0,11.0,1.0,11.0,47.0
1989.0,11/06/1989,12,1403.0,0.0,3989.0,0.0,2205.0,7597.0,36.0,12.0,6.0,12.0,29.0
1989.0,11/06/1989,14,1470.0,0.0,4104.0,0.0,2045.0,7619.0,43.0,14.0,14.0,14.0,2.0
1989.0,11/06/1989,15,1308.0,0.0,4108.0,0.0,2217.0,7633.0,12.0,15.0,16.0,15.0,30.0
1989.0,11/06/1989,16,1476.0,0.0,4030.0,0.0,2134.0,7640.0,44.0,16.0,9.0,16.0,17.0
1989.0,11/06/1989,17,1243.0,0.0,4276.0,0.0,2122.0,7641.0,3.0,17.0,34.0,17.0,14.0
